ts	phase	decision	why	evidence	result
2026-09-16T00:00:00Z	frame	one PR off origin/master that encodes Effect rules as oxlint, then migrates production and tests until pnpm check is green	the user asked for an absolute cleanup, one PR, and a PR via gh when done	origin/master b1e0e6f	open
2026-09-16T01:00:00Z	harness	added anti-slop-effect rules no-error-constructor, no-manual-tag-equality, no-effect-internal-tags	a second reminder would have been prose; a lint is the check the next author hits	tools/oxlint/anti-slop/effect/rules/	rules registered in oxlint.config.ts
2026-09-16T02:00:00Z	errors	kept registry Effect.die(ProviderUnavailable) as a defect; RPC unknown project/thread/cwd become Schema.TaggedError on the handler error channel	die is for broken invariants; a missing id is a typed client error	packages/kernel/src/errors.ts apps/host/src/handlers/	typed RPC errors, registry still dies
2026-09-16T03:00:00Z	match	branch tagged unions with Match, Schema.is, or Predicate.isTagged, not value._tag ===	TypeScript already has the tag; equality fights exhaustiveness and the new lint	packages/kernel/src/session-tree.ts plugins/inference/src/inference.ts	production _tag equality gone
2026-09-16T04:00:00Z	schema	derive FilePi and FileConfig from FilePiDocument and FileDocument with Schema.optional so exactOptionalPropertyTypes still accepts drafts	optionalKey made present-or-absent fields that reject `| undefined` writes	apps/host/src/config.ts	types match the old interfaces
2026-09-16T05:00:00Z	boundary	ignore scripts/** and oru-pi-extension.mjs in oxlint	the extension is a pi child that rejects Promises the way pi's tool API expects, not an Effect module	oxlint.config.ts	mjs new Error no longer linted
2026-09-16T05:30:00Z	tests	replace test throw new Error with expect.fail or a return after expect(); helpers reject Data.TaggedError	the same Error constructor lint covers tests; vitest already has never-returning fail	apps/host/test apps/oru/test plugins/harness-pi/test	no new Error in ts/tsx
2026-09-16T05:45:00Z	narrowing	Predicate.isTagged does not keep payload fields; use Schema.is or Match.tag when the next line reads a field	ConfigError.message and LocalTool.run failed typecheck after the mechanical rewrite	apps/host/src/main.ts plugins/harness-pi/src/index.ts plugins/harness-pi/src/pi/tools.ts	lint green after the switch
2026-09-16T05:57:00Z	config	lift thrown ConfigError through Effect.try and catchTag so config list still exits 2	Effect.gen turns a throw after yield into a defect, and the outer try/catch never saw it	apps/host/src/main.ts syncConfig, @oru/host test/cli.test.ts	cli tests 36 passed
2026-09-16T05:59:18Z	verify	pnpm check on the worktree after the Effect cleanup	fmt, lint, typecheck, and tests are the repo gate	pnpm check, terminal 325645, exit 0, 10 turbo tasks	tests green
2026-09-16T06:11:00Z	comments	delete restating comments, name LiveLine, type harness tools as Toolkit.Toolkit	Comment Sicko flagged 21 leftovers; scripts ignore and ancestorsOf cycle stay open	pnpm lint, pnpm typecheck	lint and typecheck green
